# RESULTS_SECTOR_POST6 — 건별 측정값 (기계 생성 · 🔒 판정)
# 주 판정 갈래 N=3 · SEC-M1 · DB 스냅샷 2026-09-04 · 시드 20260815 · post6(224401108114) 신규 exact «만»
# 1. 🔴 **「라이브 채택 금지 · 성과·엣지 추정 금지」** — 이 문서가 만드는 어떤 섹터 지표도 라이브 전략·파라미터 변경의 근거가 아니다(`PREREG_SECTOR_COMOVE.md` §0-1 · `PREREG.md` §0). 산출물은 **기록**이지 전략 후보가 아니다.
# 2. 🔴 **「+15%」 문턱이 이 축 «안»에 남아 있다** — `n_up`(대조 풀)과 `SEC-M2` 가 `고가 ≥ 전일종가 × 1.15` 를 쓴다(`run_regday_post5.py:13`·`:327` 승계 · §2-2). **`SEL-S1` 기각은 그대로 유지된다** — 이 값은 «판정 문턱»이 아니라 «대조 풀·측정자 입력»이고, **등록일 당일 저자 종목에 걸지 않는다**(동료에게만 건다).
# 3. 🔴 **`SEC-P1` 불성립을 「테마가 아니다」로 읽지 않는다** — 거짓 음성이 구조적이다(에코프로 4종목이 KSIC 에서 «세 칸»으로 흩어진다 · §0-2 · §9). 성립도 「섹터 동반성이 존재한다」까지이며 「테마로 고른다」의 확증이 아니다.
# 4. 🔴 **`SEC-N1` 은 «`SEC-B1` 없이는» 증거가 아니다** — 저자 종목은 정의상 급등주이고, 급등주가 섹터 동반성이 높다면 `SEC-N1` 은 그 사실만 되비춘다(= `REG-M4` 재진술). **정보는 `SEC-B1`·`SEC-B2` 에 있다**(§4-1).
# 5. 🔒 **여기 있는 값이 «판정»이다**(`SEC-P1`·`SEC-P2` · §0-4 7번) — 분모는 **post6 신규 `exact` 건**이며, **훈련(post1~5) 값은 분모에 «넣지 않는다»**(`SEC-O1` · §4-5). 훈련 열은 🔬 «탐색적 표기»로 나란히 두기만 한다. 그리고 이 축의 최대치는 **「기술」**이다(승/패 대조 3회 연속 미실시 · §0-2 ③).
# 6. 🔴 **잣대는 이 실행 «전»에 동결됐다** — `SEC-D1`(`N = 3`)·`SEC-D2`(`SEC-M1`) 사장님 확정 2026-09-02(§0-6) · 배선 점검 2026-09-02 · 동결 커밋 `FREEZE_SECTOR_2026-09-03.md` · 그 «뒤»인 2026-09-04 에 `fetch_post.py` 가 돌았다(`PREDECISION_2026-09-04_post6.md` PD-0). 🔴 **이 실행은 잣대를 하나도 바꾸지 않는다** — 값을 보고 바꾸면 그게 사후적합이다.
#
post	item	name	code	reg	N	measure	sector	peers	G	sec_rank	raw	pct	reason
6	8	원익	032940	2026-08-31	2	SEC-M3	46	114	60	11	0.47368421	81.355932	
6	9	쿠콘	294570	2026-08-28	2	SEC-M3	63	33	60	18	0.75757576	69.491525	
6	10	지투파워	388050	2026-08-26	2	SEC-M3	28	85	60	23	0.58823529	61.016949	
6	11	우리기술투자	041190	2026-08-25	2	SEC-M3	64	115	60	16	0.77391304	72.881356	
6	12	비에이치	090460	2026-09-01	2	SEC-M3	26	288	60	44	0.33333333	25.423729	
6	3	한라캐스트	125490	2026-08-21	3	SEC-M1	303	102	158	100	-0.01727045	36.305732	
6	4	헥토파이낸셜	234340	2026-08-28	3	SEC-M1	661	23	158	105	0.00249377	33.121019	
6	5	아난티	025980	2026-08-19	3	SEC-M1	551	2	158	83	-0.01339292	47.133758	
6	6	아이티센글로벌	124500	2026-08-20	3	SEC-M1	620	37	158	25	0.01055100	84.076433	
6	7	현대약품	004310	2026-09-01	3	SEC-M1	212	102	158	37	0.00506984	76.433121	
6	8	원익	032940	2026-08-31	3	SEC-M1	465	24	158	66	0.00000000	57.961783	
6	9	쿠콘	294570	2026-08-28	3	SEC-M1	639	18	158	57	0.00937849	63.694268	
6	10	지투파워	388050	2026-08-26	3	SEC-M1	281	35	158	78	0.00325203	50.318471	
6	11	우리기술투자	041190	2026-08-25	3	SEC-M1	649	97	158	55	0.01221996	64.968153	
6	12	비에이치	090460	2026-09-01	3	SEC-M1	262	129	158	102	-0.00234742	35.031847	
6	3	한라캐스트	125490	2026-08-21	3	SEC-M2	303	102	158	157	0.00000000	0.000000	
6	4	헥토파이낸셜	234340	2026-08-28	3	SEC-M2	661	23	158	37	1.00000000	76.433121	
6	5	아난티	025980	2026-08-19	3	SEC-M2	551	2	158	157	0.00000000	0.000000	
6	6	아이티센글로벌	124500	2026-08-20	3	SEC-M2	620	37	158	12	2.00000000	92.356688	
6	7	현대약품	004310	2026-09-01	3	SEC-M2	212	102	158	1	6.00000000	99.363057	
6	8	원익	032940	2026-08-31	3	SEC-M2	465	24	158	157	0.00000000	0.000000	
6	9	쿠콘	294570	2026-08-28	3	SEC-M2	639	18	158	157	0.00000000	0.000000	
6	10	지투파워	388050	2026-08-26	3	SEC-M2	281	35	158	31	1.00000000	80.254777	
6	11	우리기술투자	041190	2026-08-25	3	SEC-M2	649	97	158	5	3.00000000	96.815287	
6	12	비에이치	090460	2026-09-01	3	SEC-M2	262	129	158	6	3.00000000	96.178344	
6	3	한라캐스트	125490	2026-08-21	3	SEC-M3	303	102	158	62	0.16666667	60.509554	
6	4	헥토파이낸셜	234340	2026-08-28	3	SEC-M3	661	23	158	68	0.69565217	56.687898	
6	5	아난티	025980	2026-08-19	3	SEC-M3	551	2	158	20	0.50000000	87.261146	
6	6	아이티센글로벌	124500	2026-08-20	3	SEC-M3	620	37	158	36	0.67567568	77.070064	
6	7	현대약품	004310	2026-09-01	3	SEC-M3	212	102	158	50	0.57843137	68.152866	
6	8	원익	032940	2026-08-31	3	SEC-M3	465	24	158	61	0.45833333	61.146497	
6	9	쿠콘	294570	2026-08-28	3	SEC-M3	639	18	158	82	0.66666667	47.770701	
6	10	지투파워	388050	2026-08-26	3	SEC-M3	281	35	158	91	0.54285714	42.038217	
6	11	우리기술투자	041190	2026-08-25	3	SEC-M3	649	97	158	57	0.77319588	63.694268	
6	12	비에이치	090460	2026-09-01	3	SEC-M3	262	129	158	92	0.39534884	41.401274	
6	3	한라캐스트	125490	2026-08-21	5	SEC-M1							⑤
6	4	헥토파이낸셜	234340	2026-08-28	5	SEC-M1							⑤
6	5	아난티	025980	2026-08-19	5	SEC-M1							⑤
6	6	아이티센글로벌	124500	2026-08-20	5	SEC-M1	62021	17	324	48	0.02054054	85.139319	
6	7	현대약품	004310	2026-09-01	5	SEC-M1							⑤
6	8	원익	032940	2026-08-31	5	SEC-M1							⑤
6	9	쿠콘	294570	2026-08-28	5	SEC-M1							⑤
6	10	지투파워	388050	2026-08-26	5	SEC-M1	28123	8	324	133	0.00681199	58.823529	
6	11	우리기술투자	041190	2026-08-25	5	SEC-M1							⑤
6	12	비에이치	090460	2026-09-01	5	SEC-M1							⑤
6	3	한라캐스트	125490	2026-08-21	5	SEC-M2							⑤
6	4	헥토파이낸셜	234340	2026-08-28	5	SEC-M2							⑤
6	5	아난티	025980	2026-08-19	5	SEC-M2							⑤
6	6	아이티센글로벌	124500	2026-08-20	5	SEC-M2	62021	17	324	323	0.00000000	0.000000	
6	7	현대약품	004310	2026-09-01	5	SEC-M2							⑤
6	8	원익	032940	2026-08-31	5	SEC-M2							⑤
6	9	쿠콘	294570	2026-08-28	5	SEC-M2							⑤
6	10	지투파워	388050	2026-08-26	5	SEC-M2	28123	8	324	26	1.00000000	91.950464	
6	11	우리기술투자	041190	2026-08-25	5	SEC-M2							⑤
6	12	비에이치	090460	2026-09-01	5	SEC-M2							⑤
6	3	한라캐스트	125490	2026-08-21	5	SEC-M3							⑤
6	4	헥토파이낸셜	234340	2026-08-28	5	SEC-M3							⑤
6	5	아난티	025980	2026-08-19	5	SEC-M3							⑤
6	6	아이티센글로벌	124500	2026-08-20	5	SEC-M3	62021	17	324	97	0.82352941	69.969040	
6	7	현대약품	004310	2026-09-01	5	SEC-M3							⑤
6	8	원익	032940	2026-08-31	5	SEC-M3							⑤
6	9	쿠콘	294570	2026-08-28	5	SEC-M3							⑤
6	10	지투파워	388050	2026-08-26	5	SEC-M3	28123	8	324	206	0.50000000	36.222910	
6	11	우리기술투자	041190	2026-08-25	5	SEC-M3							⑤
6	12	비에이치	090460	2026-09-01	5	SEC-M3							⑤
