post_log_no,post_date,prog_ver,item_no,stock_name,n_legs,open_ended,all_loss,reg_date,reg_date_precision,fill_level,fill_n,preset,manual_exit,breakeven_exit,stoploss_plan,narrative
224378680510,2026-08-14,1.0.33,1,케이엔알시스템,4,0,0,,none,unknown,,,1,0,0,7월말 매매 종료 후 재등록 / 1~2차 분할매도 후 나머지 직접 전량매도
224378680510,2026-08-14,1.0.33,2,에스피지,3,0,0,2026-07-31,approx,first_only,1,표준형/HDR60,0,0,0,7월말부터 등록 후 1차 매수되고 3차례 분할매도
224378680510,2026-08-14,1.0.33,3,솔트룩스,4,0,0,2026-08-04,approx,first_only,1,표준형/HDR60,0,1,0,8월초 거래대금/시총 0.67배 판단 / 1차 매수 후 1·2차 분할매도 나머지 본전매도
224378680510,2026-08-14,1.0.33,4,마키나락스,3,0,0,2026-08-05,exact,first_only,1,표준형/HDR60,1,0,0,20일선 돌파 및 직전고점 돌파 시도 / 1차 매수 후 1·2차 분할매도 나머지 직접 전량매도
224378680510,2026-08-14,1.0.33,5,매드업,2,0,0,2026-08-06,exact,first_only,1,표준형/HDR60,0,1,0,신규주 / 8월6일 거래대금/시총 0.63배 판단 / 1차 매수 후 1차 매도 나머지 본전 자동매도
224378680510,2026-08-14,1.0.33,6,빛과전자,2,0,0,2026-08-05,exact,first_only,1,표준형/HDR60,0,1,0,바닥권 상한가 발생 / 1차 매수 후 1차 매도 나머지 본전 자동매도
224378680510,2026-08-14,1.0.33,7,씨피시스템,5,0,0,,none,unknown,,표준형/HDR60,0,1,0,7월말~8월초 두 차례 + 8월 중순 재매매 / 3% 수익권 1차매도 후 본전가 위협에 전량매도
224393392105,2026-08-29,1.0.39,1,혜인,5,1,0,2026-08-11,exact,partial,2,표준형/사분위수Q1~Q3,0,0,0,8월11일 미국 폴리실리콘 관세 부과에 따른 반사이익 기대 / 8월7~11일 거래대금·시총 0.63~0.83배 / 8월11일 등록 후 2차 매수 체결 상태로 3분할 매도(미완결) / 프리셋 변량 첫 관측 = 사분위수Q1~Q3
224393392105,2026-08-29,1.0.39,2,한국화장품제조,5,1,0,2026-08-12,exact,partial,4,표준형/HDR60,0,0,0,8월11일 화장품 테마 호실적 발표 포착 / 8월11~12일 거래대금·시총 0.2~0.3배(거래대금 양일 1400억) / 8월12일 등록 후 4차 매수 상태로 3분할 매도(미완결)
224393392105,2026-08-29,1.0.39,3,코데즈컴바인,2,0,0,2026-08-21,exact,partial,3,표준형/HDR60,0,1,0,8월18일 대북관련주 급등 / 8월19일 거래대금·시총 0.53배 / 재진입(4번째 글 08-19 건과 별개 사이클) / 3차 매수 상태로 1차 매도 후 수익보존 본전매도
224393392105,2026-08-29,1.0.39,4,한켐,4,0,0,2026-08-20,exact,partial,2,표준형/HDR60,1,1,0,재시작(4번째 글 08-12 건과 별개 사이클) / 2차 매수 상태로 1차 매도 후 본전매도 → 한 차례 더 진입 후 직접 매도 / 라벨 MANUAL / TRAILING_COMMA 저자 시퀀스가 쉼표로 끝나 후속 레그 누락 가능
224393392105,2026-08-29,1.0.39,5,삼양바이오팜,2,1,0,2026-08-21,exact,first_only,1,표준형/HDR60,0,0,0,8월20일 나노레디 비임상 국제 학술지 게재 소식 등에 상한가 / 8월21일 거래대금·시총 0.29배 / 8월21일 오후 등록 종가부근 1차 매수 → 다음날 1차 매도 후 추가매수 중(미완결)
224393392105,2026-08-29,1.0.39,6,광전자,5,1,0,2026-08-05,exact,partial,4,표준형/HDR60,0,0,0,8월초 단기급등 5G통신주 / 거래대금·시총 0.24~0.38배 거래대금 1000억 수준 / 8월5일 등록 후 4차 매수 상태로 2분할 매도처리(미완결)
224393392105,2026-08-29,1.0.39,7,레메디,3,0,0,2026-08-18,exact,partial,5,표준형/HDR60,0,1,0,신규주라 우리 DB 에 없음 / 거래대금·시총 0.8배 시총 천억 수준 / 8월18일 등록 후 5차 매수 → 1차 매도 상태에서 본전가 위협시 전량매도 / 등록 08-18 인데 급등 서술은 08-20
224393392105,2026-08-29,1.0.39,8,한성기업,2,0,1,,none,unknown,,,0,0,1,7월31일 글 기존 건 / 하락폭이 깊고 60일선을 건드리는 모습에 분할손절 예약 실시 1/4 씩 20일간 → 8월27일(목) 전량 정리 / RANGE_ONLY 저자가 범위(-16.25% ~ -37.48%)만 적어 시퀀스가 아님 ⇒ E3 판정 불가
224393392105,2026-08-29,1.0.39,9,SK아이이테크놀로지,0,0,0,,none,unknown,,,1,0,0,저자 항목번호 없음(본문 말미 산문 · 가온칩스 전례 따라 위치 함의 번호 9) / 매수 후 곧바로 직접 매도 / 매도 레그 없음 ⇒ 어떤 검정에도 안 들어감
224385784257,2026-08-22,1.0.36,1,이노테크,4,1,0,2026-08-13,exact,partial,5,표준형/HDR60,1,0,0,8월13일 MLCC 테스트 장비 확대 기대 소식에 단기 급등 / 거래대금·시총 0.7배 / 8월13일 등록 후 5차 매수 → 1차 일괄 자동매도 후 나머지 직접 전량매도 / 라벨 MANUAL(직접 = 수동 개입) / OMITTED_LEGS `~` 는 미완결이 아니라 생략 — 저자가 「자동매매가 종료된 종목들은 6종목」이라 적었다
224385784257,2026-08-22,1.0.36,2,한켐,4,0,0,2026-08-12,exact,partial,4,표준형/HDR60,0,0,0,8월12일 이노테크와 같은 MLCC 테마 상승 속 급등 / 최대 거래대금·시총 0.83배 / 8월12일 등록 후 4차 매수 → 일괄 자동매도 / 라벨 TP / 5번째 글 08-20 재시작 건과 별개 사이클
224385784257,2026-08-22,1.0.36,3,금호건설,6,1,0,2026-08-12,exact,partial,3,표준형/HDR60,0,0,0,8월20일 호남 반도체 클러스터 조기 착공 기대에 건설 중소형 테마 상한가 / 최대 거래대금·시총 0.99배 / 3차 매수 → 3분할매도 / 라벨 TP / DATE_CONFLICT 본문이 급등일 08-20 과 등록일 08-12 를 나란히 적었다 — INTAKE §1 결정대로 reg_date=2026-08-12 채택(08-20 으로 바꿔도 S1 3/6 · R2 5/6 로 결론 불변) / OMITTED_LEGS `~` 는 생략
224385784257,2026-08-22,1.0.36,4,지투파워,3,0,0,2026-08-13,exact,partial,2,표준형/HDR60,0,1,0,8월13일 액침형 ESS 국제 인증 획득 소식에 상한가 / 바닥권 60일선 돌파 · 최대 거래대금·시총 0.77배 / 8월13일 등록 후 2차 매수 → 1차 매도 후 본전위협에 본전매도 / 라벨 TP — 동결 MIX 정의(본전청산 «과» 분할손절 둘 다)에 틈이 있어 분할손절 없는 이 건은 문언상 TP
224385784257,2026-08-22,1.0.36,5,PS일렉트로닉스,3,0,0,2026-08-13,exact,partial,4,표준형/HDR60,0,1,0,8월13일 갤럭시 부품주 · 5G 테마 상승 속 상한가 / 거래대금·시총 0.3배 / 8월13일 등록 후 4차 매수 → 1차 매도 후 본전위협에 본전매도 / 라벨 MIX — 저자가 마지막 값만 낱말을 바꿔 「손실률 -2.76%」로 적었다(약한 결정 · 손실 레그 1개뿐)
224385784257,2026-08-22,1.0.36,6,코데즈컴바인,2,0,0,2026-08-19,exact,partial,2,표준형/HDR60,0,1,0,8월18일 남북경협 테마 상승 속 상한가 / 시총 기준으로 탄력 판단 / 8월19일 등록 후 2차 매수 → 1차 매도 후 본전위협에 본전매도 / 라벨 TP / 5번째 글 08-21 재진입 건과 별개 사이클
224385784257,2026-08-22,1.0.36,7,솔트룩스,0,0,0,,none,unknown,,,0,0,0,기존 건 종료 — 3번째 글(224378680510) 등록 건이 이 글에서 매도처리 / 저자가 수익률 시퀀스를 적지 않았다 ⇒ 레그 0 / 저자 항목번호 없음(본문 말미 산문 · 가온칩스·SK아이이테크놀로지 전례 따라 위치 함의 번호 7)
224385784257,2026-08-22,1.0.36,8,빛과전자,0,0,0,,none,unknown,,,1,1,0,기존 건 종료 — 3번째 글(224378680510) 등록 건이 이 글에서 매도처리 / 「한 호가 차이로 매도가 안나가서 직접 본전에 짤라버렸습니다」 = 수동 본전 청산 ⇒ 라벨 후보 MANUAL(신규 표본 아니라 LABELS 동결 대상 밖) / 수익률 시퀀스 없음 ⇒ 레그 0 / 저자 항목번호 없음(위치 함의 번호 8)
224401108114,2026-09-04,1.0.40,1,광전자,5,0,0,,none,partial,4,표준형/HDR60,0,1,0,라벨 MIX · CONTINUATION post5#6 · 저자 재명시 등록일 08-05 · 저자 표기 「지난주」 / 8월7일 미국 행정부 중국 광트랜시버 수입금지 추진에 광통신 관련주 급등 / 4차 매수된 상태로 2분할 매도처리 → 지난주 나머지 물량은 본전매도 처리 (현금+신용 합산으로 약손실 금액으로 매도) / 기존 건 후속이라 reg_date 비움·precision none (PD-2 · 한성기업 전례) / 등록일 축 분모 밖 · EXIT-E2 누적 분모 포함 · EXIT-X2/X8 은 확장 민감도 / stoploss_plan=0 은 PD-14 단일 축(「분할손절」 서술 없음 · PS일렉 전례)
224401108114,2026-09-04,1.0.40,2,삼양바이오팜,5,0,0,,none,partial,2,표준형/HDR60,0,1,0,라벨 MIX · CONTINUATION post5#5 · 저자 재명시 등록일 08-21 오후 · 저자 표기 「지난주」 / 8월20일 mRNA 암 백신 전달체 나노레디 비임상 국제 학술지 게재 소식 등에 상한가 / 지난주 추가매수 중 → 2차 매수 후 1차 매도 및 본전 위협 시 전량 매도처리 / 기존 건 후속이라 reg_date 비움·precision none (PD-2 · 한성기업 전례) / post5 #5 행(fill_level=first_only)은 손대지 않는다 — 누적 지위는 PD-12 (가) as-of-post5 유지 · (나) 제외는 의무 민감도 / stoploss_plan=0 은 PD-14 단일 축
224401108114,2026-09-04,1.0.40,3,한라캐스트,4,1,0,2026-08-21,exact,partial,5,표준형/HDR60,0,0,0,라벨 SL — 「손실률」 낱말(판별표) · 분할손절 서술 없음 · 보유 중(미완결) / 8월14일 美 빅테크 기업으로부터 로봇용 부품 추가 수주 모멘텀 지속에 급등 / 8월21일 오후 등록(「오후」 표기도 exact — post5 삼양 전례) 후 5차 매수 → 1차 매도완료 나머지 물량은 보유 중 / 손실 레그 2개(-2.87 → -2.89)로 EXIT-X7 문언 조건 충족이나 §4 #19 최소 n(시퀀스 3) 미달 ⇒ EXIT-E3 ⛔ 판정 불가 · 관측 1/1 인쇄 / RANGE_ONLY 아님 — 값 2개(PD-10) / stoploss_plan=0 은 PD-14 단일 축
224401108114,2026-09-04,1.0.40,4,헥토파이낸셜,3,0,0,2026-08-28,exact,first_only,1,표준형/HDR60,0,0,0,라벨 TP / 8월28일 스테이블코인 테마 상승 속 크로스보더 사업 확장 기대감 등에 급등 / 8월28일 등록 후 1차 매수 후 → 1~3차 매도완료 (전량매도) / first_only ∧ 서로 다른 값 3레그 ⇒ REC-Z4 발동(P6-L1′·P6-L2′·BUY-L5 즉시 판정)
224401108114,2026-09-04,1.0.40,5,아난티,1,1,0,2026-08-19,exact,first_only,1,표준형/HDR60,0,0,0,라벨 TP / 8월19일 트럼프·김정은 정상회담 추진 소식 등에 남북경협 테마 상승 속 급등 / 8월19일 등록 후 1차 매수 후 → 1차 매도완료 나머지 물량은 보유 중(미완결) / first_only · 1레그라 EXIT-X6 적용 시 레그 0 ⇒ EXIT-E1 분모 밖(PD-4)
224401108114,2026-09-04,1.0.40,6,아이티센글로벌,2,0,0,2026-08-20,exact,partial,3,표준형/HDR60,0,1,0,라벨 TP / 8월20~24일 스테이블 코인 테마 상승 및 금 가격 상승 한국금거래소 자회사로 보유 사실 부각에 급등 / 8월20일 등록 후 3차 매수 후 → 1차 매도완료 본전 위협 전량 매도 / breakeven_note 1 · EXIT-E2 마지막 레그 0.50 / 급등 서술 08-20~24 와 등록일 08-20 이 다름(PD-8 기록)
224401108114,2026-09-04,1.0.40,7,현대약품,2,0,0,2026-09-01,exact,partial,2,표준형/HDR60,0,1,0,라벨 TP / 재진입(07-31 글 #12 등록일 미명시 → 09-01 · flag 0) / 9월1일 탈모 치료제 시장이 비만 치료제에 이어 새로운 투자처로 지속 부각에 급등 / 9월1일 등록 후 2차 매수 후 → 1차 매도완료 본전 위협 전량 매도 / breakeven_note 1 · EXIT-E2 마지막 레그 2.97 / P6-PRIOR_CYCLE_IN_WINDOW=0 (직전 글 발행 07-31 < 창 시작 08-04 · 직전 등록일 미상 — PD-3) / 창5 [09-01 09-04] 4봉 ⇒ P6-WIN5_TRUNC=1 (PD-11)
224401108114,2026-09-04,1.0.40,8,원익,7,0,0,2026-08-31,exact,partial,3,표준형/HDR60,0,0,0,라벨 TP / 8월31일 국민성장펀드가 원익로보틱스에 3500억 투자 결정 모멘텀 지속에 급등 / 8월31일 등록 후 3차 매수 후 → 1~3차 매도완료 (전량매도) / 레그 7 · 수익률 레그 최소 하락 간격 13.09 → 13.06 = 0.03%p(ε=0.05%p 는 증가에만 걸린다)
224401108114,2026-09-04,1.0.40,9,쿠콘,2,0,0,2026-08-28,exact,first_only,1,표준형/HDR60,0,0,0,라벨 TP / 8월28일 스테이블코인 테마 상승 속 AI 데이터·스테이블코인으로 사업 확장 기대감 등에 급등 / 8월28일 등록 후 1차 매수 후 → 2차 매도완료(전량매도) / first_only(누적 first_only 4건째)
224401108114,2026-09-04,1.0.40,10,지투파워,4,1,0,2026-08-26,exact,partial,3,표준형/HDR60,0,0,0,라벨 TP / 재진입(post4 #4 08-13 → 08-26 · P6-PRIOR_CYCLE_IN_WINDOW=1) / 8월25일 美 정부가 한국에 웨스팅하우스 지분 인수 제안설 등에 원자력발전 테마 상승 속 급등 / 8월26일 등록 후 3차 매수 후 → 1차 매도 나머지 물량은 보유 중(미완결) / 직전 사이클 08-13 이 창 [07-29 08-26] 안(PD-3) · 재진입 제외 민감도 의무
224401108114,2026-09-04,1.0.40,11,우리기술투자,5,1,0,2026-08-25,exact,partial,4,표준형/HDR60,0,0,0,라벨 TP / 8월25일 비트코인 8만달러 돌파 소식 등에 가상화폐 테마 상승 속 급등 / 8월25일 등록 후 4차 매수 후 → 1·2차 매도완료 나머지 물량은 보유 중(미완결) / 04-01~08-04 봉 36/85 = 191종목 구멍 계열 후보 · 창 20봉은 완전 · 60봉 f9_newhigh 는 C-17 NaN 규약 대상(PD-9)
224401108114,2026-09-04,1.0.40,12,비에이치,7,0,0,2026-09-01,exact,partial,4,표준형/HDR60,0,0,0,라벨 TP / 9월1일 애플 폴더블폰 출시 기대감 및 로봇/휴머노이드 신규 거래선 확보 전망 등에 급등 / 9월1일 등록 후 4차 매수 후 → 1~7차 분할매도 완료 / 레그 7 · 창5 [09-01 09-04] 4봉 ⇒ P6-WIN5_TRUNC=1 (PD-11)
224409404744,2026-09-12,,1,한전기술,6,0,0,,none,partial,4,표준형/HDR60,0,0,0,"라벨 SL · 「손실률」 낱말(판별표 동결 문언) · 본전 서술 없음 ⇒ MIX 아님 · 「직접」/「수동」 없음 ⇒ SL(post6 한라캐스트와 동형) / 8월26일 미국정부 한국에 웨스팅하우스 지분 투자 소식 및 대미투자 특별법 기대로 상승 / 자동매매 등록 후(HDR 60% 표준형) 4차 매수된 상태로 전량 분할 매도처리 / 등록일 문장이 없다 ⇒ reg_date 비움·precision none — 급등일 08-26 을 등록일로 승격하지 않는다(PD-4) / 🔴 저자 표기 오기 축자 「4,91%.」(쉼표 소수점 + 마침표 구분자) ⇒ 레그 값 4.91 로 정규화(PD-10 1) / 🔴 값 줄 미완결 표지 ~ 와 서술 「전량 분할 매도처리」가 불일치한 첫 사례 ⇒ 주 판정은 서술 기준 완결(open_ended=0) · ~ 가 붙은 -1.70 레그만 leg_open_ended=1(PD-5 1 · 계열 최초 예외) / 손실 레그 1개 ⇒ EXIT-E3/X7 「시퀀스」 미달(누적 1 < 3 · 관측만 인쇄) / stoploss_plan=0 은 PD-17 단일 축(「분할손절」 서술 0 · 13행 전부 0)"
224409404744,2026-09-12,,2,한전산업,6,0,0,,none,partial,5,표준형/HDR60,0,0,0,라벨 SL · 「손실률」 낱말(판별표 동결 문언) · 본전 서술 없음 ⇒ MIX 아님 / 8월26일 미국정부 한국에 웨스팅하우스 지분 투자 소식 및 대미투자 특별법 기대로 상승 / 자동매매 등록 후(HDR 60% 표준형) 5차 매수된 상태로 전량 분할 매도처리 / 등록일 문장이 없다 ⇒ reg_date 비움·precision none(PD-4 · 급등일 승격 금지) / 손실 레그 1개 ⇒ EXIT-E3/X7 「시퀀스」 미달 / stoploss_plan=0 은 PD-17 단일 축
224409404744,2026-09-12,,3,한라캐스트,6,0,0,,none,partial,5,표준형/HDR60,0,1,0,라벨 MIX · CONTINUATION post6#3 · 저자 재명시 등록일 08-21 오후 / 8월14일 美 빅테크 기업으로부터 로봇용 부품 추가 수주 모멘텀 지속에 급등 / 8월21일 오후 자동매매 등록 후(HDR 60% 표준형) 5차 매수 후 → 2차 분할매도 완료 및 본전위협 시 전량 매도 / 「손실률」 낱말 ∧ 본전 서술 ⇒ MIX(post4 PS일렉·post6 광전자/삼양과 동형) / 기존 건 후속이라 reg_date 비움·precision none(PD-2 · post6 광전자 전례) · 등록일 축 분모 밖 · EXIT-E1/E4 정의상 밖 · EXIT-E2 누적 분모 포함 / breakeven_note 1 · EXIT-E2 마지막 레그 -5.30 / 🔴 post6 마지막 레그 -2.89 → post7 첫 레그 11.22 = +14.11%p «증가» ⇒ 「하나의 평단」 전제가 산술로 깨진 첫 사례 · 연결 시퀀스는 기록만(PD-2 4 · INTAKE §2-9) / stoploss_plan=0 은 PD-17 단일 축
224409404744,2026-09-12,,4,지투파워,5,0,0,,approx,partial,3,표준형/HDR60,0,0,0,라벨 TP / 🔂 재진입 3번째 사이클 = 계열 최초(post4 #4 08-13 → post6 #10 08-26 → post7 「9월 초」) · P6-PRIOR_CYCLE_IN_WINDOW=1(PD-3) / 8월25일 美 정부 한국에 웨스팅하우스 지분 인수 제안설 등에 원자력발전 테마 상승 속 급등 / 9월 초 자동매매 등록 후(HDR 60% 표준형) 3차 매수 후 → 2·3차 분할매도 완료 / 🔴 등록일 「9월 초」 = approx — PD-4 2 가 점 날짜가 아니라 «창»을 지시하므로 reg_date 를 비운다(만들지 않는다) · PREREG_POST6 §1-4 창 규약 첫 발동 = 09-01~09-10 거래일 8일(09-01·02·03·04·07·08·09·10) · 판정 분모(신규 ∧ exact 6) 밖 · 의무 민감도 · P6-W10 귀무 의무 인쇄 / stoploss_plan=0 은 PD-17 단일 축
224409404744,2026-09-12,,5,아난티,1,0,0,,none,first_only,1,표준형/HDR60,1,1,0,라벨 MANUAL · CONTINUATION post6#5 · 저자 재명시 등록일 08-19 / 8월19일 트럼프·김정은 정상회담 추진 소식 등에 남북경협 테마 상승 속 급등 / 8월19일 자동매매 등록 후(HDR 60% 표준형) 1차 매수 후 → 본전 위협에 따라 직접 전량 매도 / 「직접」 = 수동 개입(post5 한켐·SK아이이테크놀로지 전례 문언) · 우선순위 MANUAL > MIX/SL > TP · 🔴 MANUAL 이 이 계열에서 처음 «후속»에 붙는다 / 기존 건 후속이라 reg_date 비움·precision none(PD-2) · EXIT-E1/E4 정의상 밖 · EXIT-E2 누적 분모 포함 / breakeven_note 1 · EXIT-E2 마지막 레그 1.91 / EXIT-X9 해당 없음 — 「본전 위협에 따라 직접」은 자동 본전매도가 일어나지 «않은» 서술(0건 · 누적 0) / LAD 축은 RESULTS_LADDER_TRANCHE §1 B-2 carve-out 으로 분모 포함 / stoploss_plan=0 은 PD-17 단일 축
224409404744,2026-09-12,,6,우리기술투자,3,0,0,,none,partial,4,표준형/HDR60,1,1,0,라벨 MANUAL · CONTINUATION post6#11 · 저자 재명시 등록일 08-25 / 8월25일 비트코인 8만달러 돌파 소식 등에 가상화폐 테마 상승 속 급등 / 8월25일 자동매매 등록 후(HDR 60% 표준형) 4차 매수 후 → 본전 위협에 따라 직접 전량 매도처리 / 「직접」 = 수동 개입(post5 전례 문언 · 해석을 넓히지 않았다 — 산문/홍보의 「직접」 2곳은 제외) / 기존 건 후속이라 reg_date 비움·precision none(PD-2) · EXIT-E2 누적 분모 포함 / breakeven_note 1 · EXIT-E2 마지막 레그 3.08 / EXIT-X9 해당 없음 / LAD 축은 B-2 carve-out 으로 분모 포함 / stoploss_plan=0 은 PD-17 단일 축
224409404744,2026-09-12,,7,서산,3,0,0,2026-09-03,exact,first_only,1,표준형/사분위수Q2~MAX,0,0,0,라벨 TP / 9월3일 호남 반도체 클러스트 내년 정부예산안 1조 5천억원 반영 소식에 급등 / 9월3일 자동매매 등록 후(사분위수 Q2~MAX 표준형) 1차 매수 후 → 3분할 매도처리 완료 / 🔴 프리셋 「사분위수 Q2~MAX」 = HDR 숫자가 «없는» 축 — post5 혜인 「표준형/사분위수Q1~Q3」 에 이은 두 번째(관측 n=2 · HDR-D2/BUY-L4 변량 아님 · PD-9) · 「형」이 표준형이라 TP 첫 조건 충족(post5 혜인 전례 그대로) / 🔴🔴 프리셋 이름의 ~ 는 미완결 표지가 «아니다» — ~ 를 기계로 세면 이 건이 미완결로 오분류된다(PD-5 2 · PD-18 · 원장 게이트 비고) / first_only ∧ 서로 다른 값 3레그 ⇒ REC-Z4 조건 충족이나 결정 ④(BUYLADDER 계열 종결)로 귀결 소멸 · 관측 인쇄만(PD-13 1) / stock_info 명부 결손이나 market_cap 은 daily_prices 에서 읽어 측정 가능 / stoploss_plan=0 은 PD-17 단일 축
224409404744,2026-09-12,,8,강동씨엔앨,4,0,0,2026-09-03,exact,first_only,1,표준형/HDR60,0,0,0,라벨 TP / 9월3일 호남 반도체 클러스트 내년 정부예산안 1조 5천억원 반영 소식에 급등 / 9월3일 자동매매 등록 후(HDR 60% 표준형) 1차 매수 후 → 3분할 매도처리 완료 / 🔴 저자 표기 「강동씨엔앨」 ↔ DB 표기 「강동씨앤엘」(198440) — 한 글자가 다르다 · 원장에는 저자 표기를 쓰고 코드 매핑 근거를 여기 남긴다(PD-10 4 · S5 §0 「이름 매핑은 「비슷한 이름」에서 조용히 틀린다」) / first_only ∧ 서로 다른 값 4레그 ⇒ REC-Z4 조건 충족(귀결은 결정 ④ 로 소멸 · 관측만) / 수익률 레그 최소 하락 간격 18.33 → 18.31 = 0.02%p — ε=0.05%p 는 «증가»에만 걸리므로 사용 0회(4글 연속 · INTAKE §2-17) / stoploss_plan=0 은 PD-17 단일 축
224409404744,2026-09-12,,9,로보티즈,1,1,0,2026-09-04,exact,first_only,1,표준형/HDR60,0,0,0,라벨 TP / 9월4일 중국 지역 매출 증가 분석 골드만삭스 목표가 63만원 제시에 급등 / 9월4일 자동매매 등록 후(HDR 60% 표준형) 1차 매수 후 → 1분할 매도처리 완료 나머지 물량 보유 중(미완결) / first_only · 1레그라 EXIT-X6 적용 시 레그 0 ⇒ EXIT-E1 분모 밖(post6 아난티 전례 · 인쇄) / stoploss_plan=0 은 PD-17 단일 축
224409404744,2026-09-12,,10,해치텍,2,0,0,2026-09-07,exact,partial,4,표준형/HDR60,0,1,0,라벨 TP / stock_code=0155E0 — 신규 상장(첫 봉 08-25) · 초판 「미해결」은 이름 열이 비었거나 «없는» 표를 이름으로 검색한 오류였고 news.related_stocks 10행 + news_stock 10행으로 해결(PD-11 2) / 9월7일 Chat GPT 아스타라 공개에 따라 단기 급등한 종목 / 9월7일 자동매매 등록 후(HDR 60% 표준형) 4차 매수 후 → 1분할 매도처리 본전 위협 시 매도 / 본전 청산만 · 「손실률」 없음 ⇒ MIX 아님(코데즈·레메디·아이티센 전례) / 🔴 완결 판정은 약한 결정 — 「전량」·「완료」도 없고 「보유 중」도 없다(post6 아이티센글로벌형이되 「전량」이 빠진 첫 사례) · 미완결 갈래(레그 2 → X6 후 1)는 민감도 병기 / breakeven_note 1 · EXIT-E2 마지막 레그 0.46 · EXIT-X2 주 분모 4건 중 하나(0.46 은 X2 에 유리한 방향) / 창 20봉 중 10봉뿐(상장일 08-25) ⇒ P6-절단가드-A 분자 1 · 1/6 ≈ 16.7% < 1/3 미발동 · 절단 제외 민감도 필수 · 60봉 04-01~08-04 구간 0봉이라 C-17 NaN 규약 대상 / stock_industry·stock_info·dart_financials_asfiled 전부 결손(SEC-·S5 는 5/6) / stoploss_plan=0 은 PD-17 단일 축
