log_no,post_date,category,claim_id,topic,claim,numbers,para_idx,image_ref,vs_v1,v1_anchor
80092269847,2009-10-05,28,80092269847-3,④분할매도,RSI 과열·다이버전스 시점에 절반 매도하고 나머지는 추세를 보며 매도,,23,False,new,
80092269847,2009-10-05,28,80092269847-4,④분할매도,매수가 대비 2~3% 하락을 손절 라인으로 설정,2~3%,43,False,new,
80092271401,2009-10-05,28,80092271401-1,①후보선정,"눌림봉 길이가 짧고 5일선·기준선 위, 10일선 유지, 호재 존재를 기준선2(눌림목) 조건으로 규정",,12,False,new,
80092271401,2009-10-05,28,80092271401-2,③분할매수,5일선·10일선이 수렴하며 거래량이 줄어드는 지점을 매수 급소로 규정,,17,False,new,
80092271401,2009-10-05,28,80092271401-3,④분할매도,"10% 수익 시 절반 매도, 나머지는 추세를 보며 매도",10%,20,False,new,
80092330017,2009-10-06,28,80092330017-1,①후보선정,상한가 3회 이상 나온 100% 이상 급등 세력주만 급등주KILL 대상으로 규정,100%,7,False,new,
80092330017,2009-10-06,28,80092330017-2,③분할매수,120·240일선 이탈 후 시가가 전일 종가보다 높게 출발하면 시가에 매수,,10,False,new,
80092330017,2009-10-06,28,80092330017-3,④분할매도,10% 수익 도달 시 절반 매도 후 나머지는 추세를 보며 매도,10%,18,False,new,
80092514941,2009-10-08,28,80092514941-1,①후보선정,대장 테마주·급등재료·상한가 이력·이평 정배열·상승 초중반 단계를 5일선 매매 조건으로 제시,,7,False,new,
80092514941,2009-10-08,28,80092514941-2,③분할매수,일봉 5일선 부근에서 투매가 진정되고 지지하는 시점을 매수 급소로 규정,5일선,27,False,new,
80092514941,2009-10-08,28,80092514941-3,④분할매도,"다음날 시세가 나면 절반 매도, 나머지는 추세를 보며 분할매도",,42,False,new,
80093143533,2009-10-17,28,80093143533-1,①후보선정,"전고점 돌파 상한가 후 갭 발생, 음봉이 전일 몸통 50% 이내, 재료 생존을 상감기법 조건으로 규정",50%,11,False,new,
80093143533,2009-10-17,28,80093143533-2,③분할매수,상한가 다음날 오후 2시 이후 3일선·5일선 부근 꼬리를 매수 포인트로 규정,,17,False,new,
80093143533,2009-10-17,28,80093143533-3,④분할매도,"매수 다음날 오전 절반 매도, 나머지는 추세를 보며 매도",,20,False,new,
80093143533,2009-10-17,28,80093143533-4,④분할매도,"5일선 이탈 시 익절, 5일선 미지지 시 평단 대비 -2%에서 손절",-2%,45,False,new,
80093482532,2009-10-22,28,80093482532-1,①후보선정,"테마주 한정, 재료 생존, 엔벨로프가 60·120일선에서 반등, 상한가 2~3회 이상을 조건으로 제시",2~3,16,False,new,
80093482532,2009-10-22,28,80093482532-2,③분할매수,"1차 지지선에서 50%, 2차로 지지선 대비 -10% 하락 시 나머지 50%를 매수하는 2단계 비중 규정",50%;-10%;50%,27,False,new,
80093482532,2009-10-22,28,80093482532-3,④분할매도,"수익률 10~15% 구간에서 절반 매도, 나머지는 다음날 고점에서 매도",10%;15%,31,False,new,
80093482532,2009-10-22,28,80093482532-4,④분할매도,엔벨로프 매매는 손절을 거의 하지 않고 반등이 없을 때만 예외적으로 손절한다고 주장,,33,False,new,
80095152761,2009-11-15,28,80095152761-1,③분할매수,테마 대장주가 오전 9시30분 이전 10일선 부근까지 투매를 보일 때를 정석 매수 조건으로 규정,9시30분,14,False,new,
80095152761,2009-11-15,28,80095152761-2,③분할매수,급등 세력주가 하한가로 갈 경우 호가창 매수세가 확인될 때만 진입하도록 예외 규정,,33,False,new,
80095152761,2009-11-15,28,80095152761-3,④분할매도,"오후장 투매는 확률이 낮다고 보고, 지지대 이탈 시 손절하도록 규정",,49,False,new,
80114567709,2010-09-01,28,80114567709-1,⑥국면대응,"코스피·다우 지수의 상승·하락·횡보 국면에 따라 적용 기법을 달리해야 한다고 주장(하락장=엔벨로프·마지막지지, 횡보장=테마주)",,11,False,new,
80114567709,2010-09-01,28,80114567709-2,①후보선정,최근 급등 대장주·이평선 반등 이력·단기급락 엔벨하단 접근·풍부한 유동성을 종목선정 우선순위로 제시,,55,False,new,
80147336579,2011-12-06,28,80147336579-1,①후보선정,"테마 대장주·2등주·재료주 중 거래대금 100억 이상, 지수 상방을 종가배팅 종목선정 기준으로 제시",100억,5,False,new,
80147336579,2011-12-06,28,80147336579-2,④분할매도,"갭하락 시 20일선 이탈에서 손절, 갭상승 시 5%·9%에서 분할매도",5%;9%,17,False,new,
80149193927,2011-12-29,28,80149193927-1,①후보선정,지속가능한 테마 대장주·강력한 재료주 중 거래대금 50억 이상 종목을 전고돌파 매매 대상으로 규정,50억,21,False,new,
80149193927,2011-12-29,28,80149193927-2,③분할매수,오후 12시30분경 자동매매(스탑주문)로 전고점 돌파 직전 매수를 시도,12:30,8,False,new,
80149193927,2011-12-29,28,80149193927-3,④분할매도,"3~5% 분할매도 및 홀딩을 매도 원칙으로, 매수가 대비 -2% 또는 15분봉 지지 이탈을 손절 기준으로 규정",3%;5%;-2%,11,False,new,
80150236042,2012-01-10,28,80150236042-1,③분할매수,"전고점 부근에서 1차매수, 기준선에서 2차매수하는 헤드앤숄더 원리 기반 눌림매매를 제시",,16,False,new,
80150236042,2012-01-10,28,80150236042-2,②앵커,돌파된 전고점이 지지선으로 전환되는 저항-지지 원리를 매수 근거로 제시,,31,False,new,
80151196903,2012-01-23,28,80151196903-1,③분할매수,갭 4~7% 이상 발생 후 9시20분까지 투매 시 보합권·라운드피겨 가격대에서 분할매수,4%;7%;9:20,13,False,new,
80151196903,2012-01-23,28,80151196903-2,④분할매도,매수 체결 시 3% 이상에서 분할매도로 접근하고 9시20분까지 미체결이면 진입을 포기,3%;9:20,15,False,new,
80152113453,2012-02-03,28,80152113453-1,③분할매수,"상한가 3방 이후 오전 급투매 시 일봉 4~5일선을 매수 포인트로, 장중 투매는 -3% 손절 대응으로 구분",-3%,4,False,new,
80155520593,2012-03-14,28,80155520593-1,①후보선정,직전 고점을 상한가로 돌파한 종목을 PMPS(전고점눌림) 기법의 대상으로 규정,,11,False,new,
80155520593,2012-03-14,28,80155520593-2,④분할매도,PMPS는 손절폭을 -3% 미만으로 짧게 잡고 목표가는 직전고점 부근으로 잡는다,-3%,6,False,new,
80155520593,2012-03-14,28,80155520593-3,②앵커,직전고점이 지지대가 되는 이유를 세력 평균단가로 설명하고 반등은 지지점 0.5~2% 위에서 나온다고 주장,0.5%;2%,55,False,new,
80163066663,2012-06-26,28,80163066663-1,①후보선정,거래대금 100억 이상·재료 지속강도·재무제표·주가위치·대장주 여부를 종목선택 5대 기준으로 제시,100억,20,False,new,
80163066663,2012-06-26,28,80163066663-2,③분할매수,한 종목당 비중을 원금의 33% 이내로 제한해 분할매수 여력을 남겨야 한다고 규정,33%,29,False,new,
80163066663,2012-06-26,28,80163066663-3,⑧기타,매수·매도·손절 지점을 미리 계획한 시나리오대로만 매매해야 한다는 원칙을 제시,,6,False,new,
80164381324,2012-07-14,28,80164381324-1,⑧기타,매매일지·관심종목 캡처를 통계로 축적해 기법별 승률을 분석하고 목표 승률 80%까지 개선하는 공부법을 제시,80%,16,False,new,
80170434844,2012-10-03,28,80170434844-1,①후보선정,재료의 지속가능 여부를 엔벨로프 매매 성패를 가르는 핵심 기준으로 제시,,23,False,agree,§1-①
80170434844,2012-10-03,28,80170434844-2,①후보선정,"20일선과의 이격이 18~22%, 최대 30%대까지 벌어졌다가 되돌아오는 성질을 엔벨로프 매매 근거로 제시",18%;22%;30%,12,False,new,
80170434844,2012-10-03,28,80170434844-3,③분할매수,"대장주가 엔벨로프 하단까지 안 올 때는 전 지지점 1차매수, 엔벨 하단 2차매수로 대응",,68,False,new,
80171552314,2012-10-18,28,80171552314-1,⑥국면대응,테마 강세가 약할 때는 기준선·번지 종목 비중을 줄이고 엔벨로프 하단권 분할매수로 대응해야 한다고 판단,,11,False,new,
80172285192,2012-10-27,28,80172285192-1,⑥국면대응,코스닥 지수가 기준선 위인지 아래인지에 따라 공격적·보수적 매매를 전환한다고 규정,,5,False,new,
80172285192,2012-10-27,28,80172285192-2,⑥국면대응,RSI가 30 이하일 때 우량주·테마 대장주를 분할매수하고 기다리도록 제시,30,28,False,new,
80172285192,2012-10-27,28,80172285192-3,③분할매수,"주봉 엔벨로프(20,40 설정)를 대세 하락장 대응 보조기법으로 제시하고 하단권 -10% 간격으로 분할매수",20;40;-10%,47,False,new,
80175077616,2012-12-03,28,80175077616-1,①후보선정,매수 판단에는 최소 50개 이상의 과거 근거 데이터가 필요하다고 주장,50개,23,False,new,
80175077616,2012-12-03,28,80175077616-2,①후보선정,관심종목의 흐름을 거의 2년간 매일 기록해 매매 시나리오를 축적하는 습관을 실천,2년,29,False,agree,§1-①
80178290807,2013-01-12,28,80178290807-1,①후보선정,질 좋은 상한가가 부족할 때를 대비해 우량주 대상 단기~스윙 대안기법(바단매)을 새로 개발했다고 소개,,1,False,new,
80178290807,2013-01-12,28,80178290807-2,⑦프로그램·상품,신기법 공개와 동시에 초보자용 유료 e-book을 출간해 매매기법과 함께 판매,,3,False,agree,§5
80178984326,2013-01-19,28,80178984326-1,①후보선정,"고점대비 -40%(또는 -30%) 하락 후 하방경직, 20일선 돌파 양봉 출현, 종가 5~10%대·거래량 300~500%를 바단매 조건으로 규정",-40%;-30%;5%;10%;300%;500%,17,False,new,
80178984326,2013-01-19,28,80178984326-2,③분할매수,"시가 -1~-2%에서 1차, 전일양봉 몸통에서 2차, 전일양봉 시가부근에서 3차매수하며 비중은 3:3:3 또는 공격적으로 7:2:1·5:5:0",-1%;-2%;3:3:3;7:2:1;5:5:0,20,False,new,
80178984326,2013-01-19,28,80178984326-3,④분할매도,매수 근거인 시가를 이탈하면 전량 손절이 원칙이라고 규정,,83,False,new,
80178984326,2013-01-19,28,80178984326-4,①후보선정,"재료·수급·차트조건이 모두 맞으면 A급(비중확대), 차트만 맞으면 B급(비중축소)으로 등급을 구분",,40,False,new,
80179369562,2013-01-22,28,80179369562-1,⑥국면대응,급반등이 나오지 않는 장에서는 비중을 줄이고 이격 있게 급락한 종목 위주로 엔벨로프 하단권 분할매수로 대응,,9,False,new,
80181200325,2013-02-09,28,80181200325-1,④분할매도,즉시 전량손절보다 매수가 대비 -12% 부근(10일선)까지 추가매수 후 단계적으로 대응하는 편이 효율적이라고 주장,-12%,61,False,new,
80181200325,2013-02-09,28,80181200325-2,④분할매도,10일선까지 추가매수가 되면 평단가 대비 본절·익절·2%·4% 구간에 분할매도 주문을 걸어둔다,2%;4%,73,False,new,
80181200325,2013-02-09,28,80181200325-3,④분할매도,비중 실린 종목이 매수가 대비 -15% 이상이면 단타 수익의 절반만큼씩 가격 불문하고 나눠서 손절해 유동성을 회복한다,-15%;50만원;25만원,104,False,revision,§1-④
80181949175,2013-02-17,28,80181949175-1,②앵커,상한가 당일 종가 부근의 밑꼬리 가격대를 세력(주포)의 평균단가로 추정해 매수 기준점으로 삼는다,,8,False,new,
80181949175,2013-02-17,28,80181949175-2,④분할매도,전일 고점과 당일 저점의 중간값을 반등 강도 판단 및 분할매도·홀딩 결정의 기준점으로 삼는다,,23,False,agree,§1-④
80187379536,2013-04-05,28,80187379536-1,⑥국면대응,급등주 손절이 잦은 장에서는 우량주·스몰캡 대상 2~4% 단타 매매로 전환해야 한다고 판단,2%;4%,18,False,new,
80187379536,2013-04-05,28,80187379536-2,③분할매수,저점·고점의 중간값과 중간값·저점의 중간값을 그어 분할매수·분할매도 구간을 설정,,31,False,new,
80187379536,2013-04-05,28,80187379536-3,④분할매도,장대양봉 시가이탈 시 전량손절이 원칙이나 악재가 아니면 손절하지 않고 홀딩하거나 소량씩 정리한다고 서술,,52,False,new,
80187445627,2013-04-05,28,80187445627-1,⑧기타,방법론 주장 없음,,-1,False,none,
80189027002,2013-04-29,28,80189027002-1,③분할매수,"30분봉의 폭발적 거래량과 지지·저항을 겹쳐 그은 두 층 중 1번층은 초기매수, 2번층은 눌림매수로 구분",,8,False,new,
80189027002,2013-04-29,28,80189027002-2,④분할매도,눌림매수(2번층) 물량은 양봉 시가 이탈 시(종가 기준) 손절한다고 규정,,22,False,new,
80189440370,2013-05-06,28,80189440370-1,②앵커,호가창에 걸린 대량 매물대를 매물 저항대이자 지지선 추정 근거로 삼는다,,9,False,new,
80189440370,2013-05-06,28,80189440370-2,①후보선정,기관 수급이 6개월 만에 마이너스에서 플러스로 전환하는 골든크로스를 강력한 매수 신호로 제시,6개월,24,False,new,
80194084114,2013-07-16,28,80194084114-1,①후보선정,장대양봉 시가를 지키며 네자리수 이상 기관의 공격적 매수가 들어온 스몰캡을 지속상승 신호로 포착,,10,False,new,
80194084114,2013-07-16,28,80194084114-2,③분할매수,이런 종목의 매수 타점은 5·7·10일선 눌림을 이용하는 것이 좋다고 제시,5;7;10,23,False,new,
80195254814,2013-08-01,28,80195254814-1,①후보선정,정배열 구간의 전고돌파 종목만 우량주 추세눌림 매매 대상으로 제한(역배열 제외),,14,False,new,
80195254814,2013-08-01,28,80195254814-2,③분할매수,"볼린저밴드(12,2) 중심선 또는 예외적으로 10일선을 매수 지점으로 규정",12;2,22,False,new,
80195254814,2013-08-01,28,80195254814-3,④분할매도,3%부터 분할매도를 원칙으로 하고 손절은 매수가 대비 -2%로 규정,3%;-2%,24,False,new,
80195254814,2013-08-01,28,80195254814-4,⑧기타,이 매매법의 성공 확률이 대체로 80% 정도라고 주장,80%,27,False,new,
80203575432,2013-12-15,28,80203575432-1,②앵커,유통주식수 대비 누적 거래량을 추적해 세력의 보유물량과 평균매수단가를 추정하는 방법을 제시,,10,False,new,
80203575432,2013-12-15,28,80203575432-2,①후보선정,거래량 기반 세력 평균단가 추정은 1차시세에만 적용 가능하고 전고돌파 이후 2차시세는 해석이 어렵다고 한정,,77,False,new,
80204117684,2013-12-24,28,80204117684-1,①후보선정,시총 S급 10조원 이상·A급 6조원 전후의 대형주까지도 풀베팅 매매 대상으로 규정,10조원;6조원;5조원;1조;3000억,26,False,conflict,§1-①
80204117684,2013-12-24,28,80204117684-2,③분할매수,"대형주 -50%, 중형주 -60%, 테마주 -66% 등 시총 등급별 하락폭 기준을 정해 분할매수 진입 자리로 삼는다",-50%;-60%;-66%,1,False,new,
80204117684,2013-12-24,28,80204117684-3,④분할매도,"20~30% 수익 시 절반 매도, 20% 이탈 시 전량 매도(최소 10%면 매도)를 스윙 매도 규칙으로 제시",20%;30%;10%,4,False,new,
220000968295,2014-05-16,28,220000968295-1,①후보선정,"신고가·바닥권 전고돌파 장대양봉 6% 이상·거래량 2~3배, 기관외인 수급, 실적증가(턴어라운드)를 종목선정 조건으로 제시",6%;2배;3배,20,False,new,
220000968295,2014-05-16,28,220000968295-2,③분할매수,장대양봉 이후 저점~고점을 박스권으로 설정하고 외인·기관 추정 평균단가를 참고해 하단권에서 분할매수,,28,False,new,
220000968295,2014-05-16,28,220000968295-3,④분할매도,"3~4% 일괄매도 또는 5~7% 분할매도를 기본으로 하고, 손절은 시가이탈 또는 -4%로 규정",3%;4%;5%;7%;-4%,17,False,new,
220018774753,2014-06-03,28,220018774753-1,③분할매수,박스권 하단권을 다시 1/2로 나누어 외인·기관 추정 평균단가와 대조해 세부 매수구간을 설정,1/2,38,False,new,
220018774753,2014-06-03,28,220018774753-2,②앵커,고점이 갱신될 때마다 박스권 저점을 상향 재설정하는 트레일링 방식을 채택,,69,False,new,
220018774753,2014-06-03,28,220018774753-3,④분할매도,매수가 대비 -4% 또는 장대양봉 시가이탈을 손절 기준으로 규정,-4%,27,False,new,
220050297877,20140704,28,220050297877-1,①후보선정,우상향 추세이며 엔벨로프 상단을 터치하고 외국인·기관 수급이 양호한 우량주·중소형주를 단기매매 후보로 삼는다,,30,False,new,
220050297877,20140704,28,220050297877-2,④분할매도,우상향 추세가 깨지는 20일선 이탈 또는 -3~-4%의 손익비 기준으로 손절 라인을 정한다,-3%;-4%,23,False,conflict,§1④ 손절=살라미 분할손절(손실률 -20% 초과 시 단계적 매도)
220069347199,20140723,28,220069347199-1,①후보선정,급등주보다는 수급이 꾸준히 유입되는 중소형 우량주가 평단박스권 매매에 더 적합하다고 본다,,9,False,new,
220069347199,20140723,28,220069347199-2,①후보선정,장대양봉 돌파 이후 거래량 합계가 유통주식수의 30~50%를 넘으면 강력한 수급주체가 매물대를 장악한 신호로 본다,30%;50%,41,False,new,
220119348401,20140912,28,220119348401-1,①후보선정,"하단 추세선 지지에서 매수하고 이탈 시 손절하며, 기관·외국인의 연속 순매수가 확인되는 추세 돌파 종목을 선호한다",,22,False,new,
220133572428,20140926,28,220133572428-1,④분할매도,고점과 최저점의 중간값을 거래량을 동반해 돌파하면 반등의 힘이 강한 것으로 보고 매도를 분할하거나 늦춘다,,14,False,revision,§1④ 저점 대비 반등폭의 HDR 구간에서 분할매도
220133572428,20140926,28,220133572428-2,①후보선정,차트뿐 아니라 기관·외인의 대량매수가 확인되는 종목을 종목선정 조건에 포함한다,,16,False,new,
220142155787,20141006,28,220142155787-1,④분할매도,"매수자리가 주봉 5·10·20주선과 겹치면 목표수익을 10~20%로, 겹치지 않으면 5~10%로 잡고 10% 도달 시 절반매도·20% 미도달 시 잔량매도한다",10%;20%;5%,4,False,conflict,§1④ 저점 대비 반등폭의 HDR 구간에서 분할매도
220142155787,20141006,28,220142155787-2,②앵커,일봉 매수 타점이 주봉 5·10·20·60주선과 겹치는지로 종목 등급(S급·A급)을 나누어 비중을 싣는다,,17,False,new,
220148311016,20141012,28,220148311016-1,①후보선정,바닥권 대비 100% 이상 급등해 정배열을 갖췄다가 악재 없이 하락 후 쌍바닥을 만드는 종목을 공략 대상으로 삼는다,100%,4,False,new,
220148311016,20141012,28,220148311016-2,④분할매도,"쌍바닥 매매는 전저점 +3% 부근 매수, 10% 이상 수익권에서 분할매도, 전저점 이탈 시 손절을 원칙으로 한다",3%;10%,10,False,conflict,§1④ 저점 대비 반등폭의 HDR 구간에서 분할매도
220180752110,20141114,28,220180752110-1,①후보선정,장대양봉+일평균 대비 2배 거래량+20일선 돌파+당일 시장주도주 조건이 겹치면 다음날 매수한다,2배,11,False,new,
220180752110,20141114,28,220180752110-2,③분할매수,"장대양봉 종가 부근에서 1차매수, 캔들 허리 부근에서 2차매수하는 2분할 매수를 쓴다",,19,False,conflict,§1③ 밴드를 5등분해 차수별 비중으로 분할매수
220180752110,20141114,28,220180752110-3,④분할매도,"손절선은 장대양봉 시가이탈 또는 -4%(비중을 크게 실을 땐 짧게, 여유를 두려면 길게) 중 택해 투입금액을 조절한다",-4%,36,False,conflict,§1④ 손절=살라미 분할손절(손실률 -20% 초과 시 단계적 매도)
220205598250,20141210,28,220205598250-1,⑥국면대응,"지수가 기준선을 이탈하면 약세로 보고 보수적 접근을, 기준선을 돌파하면 강세로 보고 공격적 접근을 취한다",,21,False,new,
220205598250,20141210,28,220205598250-2,⑥국면대응,"약세장에서는 바닥권 매집을 지양하고, 지수 RSI 과매도권과 우량주 엔벨로프 하단이 겹치는 자리에서만 접근한다",,49,False,conflict,§1④ 하락장에서는 HDR을 좁히고 그 초입에서 매도
220224211422,20141230,28,220224211422-1,③분할매수,종목선정 이후 박스권을 그려 중하단에서 분할매수하고 고점대에서 분할매도하는 사이클을 반복한다,,8,False,revision,§1③ 밴드를 5등분해 차수별 비중으로 분할매수
220224211422,20141230,28,220224211422-2,④분할매도,"손절선을 (1)장대양봉 시가이탈 (2)매수가 대비 -4% 절반손절 (3)480분선(20일선) 이탈 시 전량손절, 세 기준으로 나눈다",-4%,16,False,conflict,§1④ 손절=살라미 분할손절(손실률 -20% 초과 시 단계적 매도)
220267042987,20150208,28,220267042987-1,①후보선정,매물대(개인 물린 구간)에서는 손절하지 못한 투자자들의 본전심리로 인해 강력한 저항대가 형성된다,,59,False,new,
220342440929,20150427,28,220342440929-1,①후보선정,"대량거래+신고가/전고/추세돌파+수급+모멘텀 4가지를 종목선정 기본조건으로 삼고, 장대양봉의 거래대금이 최소 100억은 되어야 시장의 관심(수급유입)을 받는다고 본다",100억,11,False,revision,§1① 수급 필터: 시가총액·거래대금·거래대금÷시총 비율
220342440929,20150427,28,220342440929-2,①후보선정,완전 신고가 종목이라 하더라도 그것만 보고 무작정 진입해서는 안 된다고 경고한다,,101,False,new,
220451796278,20150815,28,220451796278-1,②앵커,라운드피겨(예: 100만원)를 돌파한 자리를 스윙매매의 기준점(지지라인·손절라인)으로 삼는다,"1,000,000원",34,False,new,
220451796278,20150815,28,220451796278-2,④분할매도,중요 가격대 돌파 후 최소 10% 이상 수익률까지 보유하고 '본절·익절' 없이 '손절 또는 최소수익 홀딩'만 원칙으로 한다,10%,27,False,conflict,§1④ 저점 대비 반등폭의 HDR 구간에서 분할매도
220457920091,20150821,28,220457920091-1,⑥국면대응,"RSI 과매도권 진입 시 고점~저점 피보나치 되돌림상 최소 0.382, 통상 0.5(절반)까지 반등이 나오며 절반폭 도달에 약 한 달이 걸린다고 본다",0.382;0.5,6,False,new,
220550291575,20151125,28,220550291575-1,④분할매도,손절선은 원금 대비 최대손실한계(2~3%)를 정한 뒤 -20% 손절폭을 가정해 투자금액을 역산한다,-20%;2%;3%,40,False,agree,§1④ 손절=살라미 분할손절: 손실률 -20% 초과 시
220550291575,20151125,28,220550291575-2,①후보선정,상하한가 변동폭 확대 이후 급등주는 지지라인 근처에서도 밑꼬리가 -7% 이상 나올 수 있어 손절선을 짧게 잡으면 쉽게 털린다,-7%,26,False,new,
220563934226,20151210,28,220563934226-1,③분할매수,고점대비 상승폭 구간별로 하락폭 데이터(약 455건)를 수집해 동그라미가 가장 중첩된 구간을 매수 기준 하락폭으로 삼는 계산기를 배포한다,455,73,False,revision,"§2 데이터 기반: (상승폭,하락폭,반등폭) 3종 세트 13,503건"
220563934226,20151210,28,220563934226-2,③분할매수,"상승폭 20~30%→중첩 하락폭 10%·17%, 41~50%→16~20%, 81~160%→24% 등 상승폭 구간별 하락폭 표를 제시한다","20~30%->10%,17%;41~50%->16~20%;81~160%->24%",115,False,conflict,"§2 상승폭 → 평균 하락폭 표(20~30%→-16%, 300%+→-41%)"
220563934226,20151210,28,220563934226-3,③분할매수,"하락폭 30%대가 여러 구간에서 자주 재등장해, 1차매수 이후 30%선을 2차매수 지점으로 추가한다",30%,111,False,new,
220563934226,20151210,28,220563934226-4,⑤데이터기반,이 통계는 5~6개월치(약 450여개) 데이터이며 검증하려면 최소 1년 이상의 데이터가 필요하다고 스스로 인정한다,455;5~6개월,114,False,revision,"§2 데이터 기반: 기간 2020~2025(6년), 13,503건"
220583444420,20151231,28,220583444420-1,②앵커,기관 추정 평단가(HTS 조회)를 박스권 하단 매수 기준가로 활용해 집중매수 구간을 정한다,,47,False,new,
220583444420,20151231,28,220583444420-2,③분할매수,"갭하락 시작 시 장대양봉의 3/4, 2/4 지점을 1·2차 매수포인트로 잡는다","10,500원;10,300원",28,False,conflict,§1③ 밴드를 5등분해 차수별 비중으로 분할매수
220583444420,20151231,28,220583444420-3,④분할매도,"매수가 대비 -4% 이탈 시 절반손절, 나머지 절반은 방치하다 본전가 도달 시 정리하거나 다른 종목 수익으로 상쇄한다",-4%,40,False,revision,§1④ 손절=살라미 분할손절 — 본전가 도달 시 잔량 전량 자동매도
220600360783,20160117,28,220600360783-1,①후보선정,"매물대는 최고점~최저점, 최고점~장대양봉 직전 바닥권 두 구간으로 나눠 보고, 장악한 매물대 구간(예:10% 범위)을 분할매수·손절 기준으로 쓴다",10%,57,False,new,
220600526901,20160118,28,220600526901-1,①후보선정,일목균형표(전환선·기준선·후행스팬·선행스팬1·2)가 정배열을 이루는 종목을 매물대와 함께 참고해 상승가능성을 판단한다,,44,False,new,
220683580203,20160414,28,220683580203-1,①후보선정,"외인·기관의 뭉텅이 수급(평소 대비 5~10배, 공격적으로는 20배 이상)+거래량 평균 대비 5배 이상+거래대금 시총 대비 10% 이상(가급적 300억 이상)을 종목선정 1순위 조건으로 삼는다",5배;10배;20배;300억;10%,106,False,revision,§1① 시가총액·거래대금·거래대금÷시총 비율(다날 0.2368배)
220683580203,20160414,28,220683580203-2,①후보선정,"재료가 부정적이어도 뭉텅이 수급이 유입되면 상승하며, 하락 이유를 찾으려 뉴스를 보면 이미 늦다고 본다",,107,False,conflict,§1① 재료(뉴스·촉매)가 1차 필터
220732330415,20160610,28,220732330415-1,③분할매수,박스권 고점·저점이 경신되면 새 고점·저점으로 박스권을 재설정하고 중간~저점 구간에서 반복 매수한다,,30,False,revision,§1③ 밴드는 상승폭에 따라 달라진다
