log_no,post_date,category,img_no,content_type,topic,vs_text,judge_agree,readable
224098489956,2025-12-04,28,9,기타,같은 반등 개념도의 실패 사례판 — 반등이 약해 최저가 수평선을 아래로 이탈하는 지점에 저점이탈 손절 라벨을 붙임,있음,True,True
224098489956,2025-12-04,28,20,계산기화면,"통계기반 계산기 입력 화면 — 투자금액, 시작점과 최고점, 상승폭 구간 자동 매칭, 분할매수 프리셋, 매도 횟수와 스타일, 매수 HDR 커버리지 슬라이더, 매도 HDR 자동 연동 토글로 파라미터가 구성됨",부분,True,True
224098489956,2025-12-04,28,21,계산기화면,"같은 계산기의 결과 화면 — 권장 매수범위와 권장 반등범위를 고점대비 하락·저점대비 반등 기준으로 카드에 내고 인접 상승폭 구간의 표본 수와 구간 밀도, 차수별 분할매수 계획 표를 함께 표시",부분,True,True
224098489956,2025-12-04,28,25,기타,앞서 나온 최소 기본 반등폭 개념도와 같은 그림이 같은 글에서 다시 쓰인 재수록분,있음,True,True
224140664340,2026-01-09,28,2,텍스트슬라이드,"분할매수를 삼단 피라미드로 도해하고 차수마다 역할(첫 진입은 조바심을 눌러두는 보험, 다음은 평단 조정, 마지막이 최대 비중)을 붙임",있음,True,True
224140664340,2026-01-09,28,5,계산기화면,계산기의 분할매수 계획 표 — 차수별 비중·하락 구간·가격 범위·중심가·수량·매수금액·밀도를 열로 두고 합계 검증 배지와 중간 차수까지 매수했을 때의 평단을 함께 냄(세 차수 구성),부분,True,True
224140664340,2026-01-09,28,6,계산기화면,같은 분할매수 계획 표의 다섯 차수 판 — 뒤 차수로 갈수록 비중이 커지는 역피라미드 배분이고 차수별 하락 구간 폭은 균등,부분,True,True
224147987492,2026-01-15,28,0,기타,손그림 주가곡선 개념도 — 조정에서 매수하고 반등에서 매도하는 흐름에 매수 비중을 전량으로 잡은 계획을 표시,있음,True,True
224147987492,2026-01-15,28,1,기타,같은 개념도에 계획한 매수 비중과 실제 체결된 비중이 어긋나 아쉬움이 남는 상황을 덧붙임,있음,True,True
224147987492,2026-01-15,28,2,기타,미체결 대응 선택지 ① 불타기 — 이미 잡힌 평균단가보다 높은 가격에서 물량을 더 담는 방식이라는 정의를 도해에 붙임,있음,True,True
224147987492,2026-01-15,28,3,기타,선택지 ② 며칠에 걸쳐 조금씩 모아가기,있음,True,True
224147987492,2026-01-15,28,4,기타,선택지 ③ 보내주기 — 더 내려올 때까지 매수를 미루고 대기,있음,True,True
224147987492,2026-01-15,28,5,기타,선택지 ④ 지지 확인 후 비중 집중 — 지지 이탈 시 손절이라는 조건이 한 라벨에 함께 붙음,있음,True,True
224147987492,2026-01-15,28,6,기타,네 선택지를 한 화면에 나열한 요약 도해 — 무엇을 고를지는 각자의 몫이라는 단서가 함께 붙음,있음,True,True
224175506626,2026-02-07,28,4,계산기화면,반등폭 분포도 패널 — HDR 커버를 산출하기 전에 표본의 상·하위를 잘라낸 분석 범위와 극단값 제외를 상단 규칙줄에 명시하고 사분위 지표를 함께 표시(자동 모드),부분,True,True
224175506626,2026-02-07,28,5,계산기화면,같은 표본·같은 사분위값에서 HDR 커버만 수동으로 좁힌 대조 화면 — 커버 비율과 그에 해당하는 표본 수가 함께 줄어듦을 보임,부분,True,True
224175506626,2026-02-07,28,8,계산기화면,다른 종목·다른 표본에서 같은 반등폭 분포도 화면을 수동 모드로 좁힌 사례,부분,True,True
224207160457,2026-03-06,28,8,계산기화면,계산기 입력 폼 — 시작점과 최고점 두 값만 넣으면 상승폭 구간이 자동으로 매칭되는 구성(지수를 대상으로 넣은 사례),부분,True,True
224207160457,2026-03-06,28,9,계산기화면,결과 카드 화면 — 상승폭·자동 구간 매칭·권장 매수범위·권장 반등범위 네 카드로 구성되며 매수범위와 반등범위에 서로 다른 HDR 커버가 적용됨,부분,True,True
224207160457,2026-03-06,28,10,계산기화면,같은 입력 폼에 다른 지수를 넣은 사례,부분,True,True
224207160457,2026-03-06,28,11,계산기화면,그 지수의 결과 카드 화면 — 인접 상승폭 구간의 표본 수와 구간 밀도를 함께 냄,부분,True,True
224207160457,2026-03-06,28,15,계산기화면,개별 종목의 시작점과 최고점을 넣은 상승폭 체크 입력 폼,없음,True,True
224207160457,2026-03-06,28,16,계산기화면,그 종목의 결과 카드 화면 — 앞선 사례들과 달리 매수범위 HDR 커버가 반등범위 쪽과 같은 값으로 설정돼 있음,부분,True,True
224207160457,2026-03-06,28,19,계산기화면,또 다른 종목의 상승폭 체크 입력 폼,없음,True,True
224207160457,2026-03-06,28,20,계산기화면,그 종목의 결과 카드 화면 — 권장 매수범위의 가격대가 뒤따르는 차트의 가로선과 같은 값으로 이어짐,부분,True,True
224207160457,2026-03-06,28,21,계산기화면,하락폭 분포도 패널 — HDR 커버 산출 전에 상·하위 절단과 극단값 제외를 적용함을 상단에 표시하고 권장 매수범위 구간을 밝게 강조한 뒤 오른쪽 꼬리를 따로 표시,부분,True,True
224207160457,2026-03-06,28,23,계산기화면,같은 업종 대장주를 대상으로 한 상승폭 체크 입력 폼,없음,True,True
224207160457,2026-03-06,28,24,계산기화면,"그 대장주의 결과 카드 화면 — 권장 매수범위·반등범위와 인접 구간 표본 수, 구간 밀도를 표시",부분,True,True
224230350920,2026-03-26,29,4,텍스트슬라이드,재료의 파급력을 저녁 종합뉴스에 보도될 만한 이슈인지로 가늠하고 파급력이 크면 관련 종목이 다음날 크게 반응한다는 규칙을 형광펜으로 강조한 텍스트 슬라이드,부분,True,True
224231592865,2026-03-27,29,0,텍스트슬라이드,테마의 변동성이 유지되는 기간을 한국 시장 기준으로 평균과 길게 잡았을 때로 나눠 못 박은 형광펜 인용 박스,부분,True,True
224231592865,2026-03-27,29,8,텍스트슬라이드,일반의 관심이 크지 않아도 정책 지원이나 대기업의 투자처럼 업계 판도를 바꿀 수 있는 재료라면 별도 범주로 분류한다는 정의를 담은 형광펜 인용 박스,있음,True,True
224235686601,2026-03-31,29,0,텍스트슬라이드,"관심도가 낮은 재료도 그 업계 안에서는 큰 변동성을 낳을 수 있다는 대비 명제와, 그런 경우에 이름을 붙여 범주로 세우는 선언이 든 본문 문단 캡처",부분,True,True
224253762854,2026-04-15,28,2,차트캡처,일봉 차트에 급등 구간을 5일선을 타고 오른 흐름으로 지목한 주석(처방이 아니라 관찰 서술),있음,True,True
224253762854,2026-04-15,28,3,표,"증권사 종목별 실현손익 조회 화면 — 표시 금액이 증권사 자체 계산에 따른 추정값이고 수수료는 체결 시점 요율로 반영된다는 고지, 조회 가능 기간의 제약 안내가 각주로 붙음",없음,True,True
224253762854,2026-04-15,28,4,차트캡처,한 종목의 일봉 위에 상승폭·하락폭·반등폭 세 항목을 번호로 정의하고 같은 종목에서 구간을 되풀이해 계측한 값을 나열한 슬라이드,부분,True,True
224253762854,2026-04-15,28,5,계산기화면,"계산기 입력 화면 전체 — 분할매수 방식을 HDR·사분위수·직접 중에서 고르고 분할매도 횟수와 스타일, 매수 HDR 커버리지, 분포도 표시 여부를 파라미터로 두는 구성",부분,True,True
224253762854,2026-04-15,28,6,계산기화면,"계산기 결과 화면 — 권장 매수범위는 고점대비 하락, 권장 반등범위는 저점대비 반등을 기준면으로 삼고 구간 밀도·표본 수·합계 검증을 함께 내는 구성(수치는 글쓴이가 모자이크로 가림)",부분,True,True
224253762854,2026-04-15,28,7,계산기화면,차트 위에 얹힌 계산기 결과표 — 매수 모드·상승률·분할 프리셋·투자금액·HDR 활성 여부·선택 상태·매수범위·사용 HDR 을 항목으로 두고 차수별 가격과 비중·주수를 냄,부분,True,True
224253762854,2026-04-15,28,8,계산기화면,같은 결과표에서 매수 모드를 사분위수로 두어 HDR 을 쓰지 않은 사례 — 이때 사용 HDR 칸이 빈칸으로 남음,부분,True,True
224253762854,2026-04-15,28,9,계산기화면,해외 상장 종목에 같은 지표를 적용한 결과표 — 이 묶음에서 매수범위 칸이 가려지지 않은 유일한 화면,부분,True,True
224253762854,2026-04-15,28,10,계산기화면,차트 플랫폼의 지표 검색창에서 이 계산기 스크립트의 이름과 작성자를 확인한 화면 — 여기 쓰인 부스트 모드의 차수 비중은 공개된 분할 프리셋 어디에도 없는 배분,부분,True,True
224253762854,2026-04-15,28,11,계산기화면,같은 스크립트의 배포 페이지 — 초대 전용으로 접근 권한을 부여하는 형태이고 결과표가 차트에 얹힌 상태로 보임,부분,True,True
224341470917,2026-07-09,28,2,계산기화면,"자동매매 프로그램의 전체 화면 — 현재가가 권장 매수범위 안에 들었음을 알리고, 첫 익절 체결 이후 본전 방어가 작동하는 수익 보존형 전략 아래 차수별 매수·매도 계획의 체결·발주·대기 상태를 함께 표시",부분,True,True
224341470917,2026-07-09,28,19,계산기화면,"분할손절 예약 설정 패널 — 첫 회 일괄 시장가 매도 여부와 보유 비율대로의 분배, 분할 매도 일수, 매도 지정가와 평단 자동 채움, 지정가 도달 시 매도 비율, 지정가 체결 시 분할 자동 종료의 다섯 항목으로 구성",부분,True,True
224359904250,2026-07-28,28,7,표,상승폭 구간별로 사례 수와 이후 고점 대비 평균 하락폭을 낸 표 — 구간이 연속이 아니라 일부만 뽑아낸 발췌표,부분,True,True
224359904250,2026-07-28,28,9,계산기화면,분봉 차트 위에 계산기가 얹은 라벨 — 최고점과 시작점을 양 끝으로 두고 다섯 차수의 비중과 매수가를 표시하며 가격은 등간격인데 비중은 단조롭게 늘거나 줄지 않음,부분,True,True
224359904250,2026-07-28,28,12,계산기화면,같은 라벨 구성을 다른 종목의 분봉에 적용한 화면(다섯 차수),부분,True,True
224359904250,2026-07-28,28,17,계산기화면,"이 묶음에서 유일하게 앱 툴바까지 담긴 계산기 본화면 — 시장 선택과 봉 주기, 상승폭 활성화와 반등폭 비활성화, 관심종목 저장 버튼이 있고 상태줄에서 차수 라벨의 정체가 분할매수 라벨임이 드러남",부분,True,True
224359904250,2026-07-28,28,18,계산기화면,한 종목에서 최고점 기준을 바꿔가며 라벨이 재계산되는 연속 화면의 첫 프레임(세 차수 구성),부분,True,True
224359904250,2026-07-28,28,19,계산기화면,같은 연속 화면 — 시작점은 그대로 두고 최고점만 올려 잡자 차수별 비중 배분이 달라진 프레임,부분,True,True
224359904250,2026-07-28,28,20,계산기화면,같은 연속 화면 — 최고점을 더 올려 잡은 프레임,부분,True,True
224359904250,2026-07-28,28,21,계산기화면,같은 연속 화면 — 최고점을 또 올렸는데 차수 비중 배분은 직전 프레임과 똑같고 가격만 바뀐 프레임,부분,True,True
224359904250,2026-07-28,28,22,계산기화면,라벨 세 줄은 직전 프레임과 완전히 같고 차트의 기간축만 뒤로 늘려 다시 표시한 프레임,부분,True,True
224359904250,2026-07-28,28,23,계산기화면,연속 화면의 마지막 프레임 — 최고점을 가장 높게 잡자 차수 비중 배분이 앞 프레임들과 또 달라짐,부분,True,True
224361924061,2026-07-29,28,0,텍스트슬라이드,"증권사 서킷브레이커 발동 알림창 — 코스닥 지수 급락이 일정 시간 지속되면 1단계가 발동해 주식과 지수 파생상품 거래가 멈추고, 거래소와 대체거래소의 중단·단일가매매 시간이 서로 다르다는 고지(거래소 규정이지 글쓴이의 매매규칙이 아님)",부분,False,True
224361924061,2026-07-29,28,4,계산기화면,태쏘 통계기반 트레이더 전체 화면 — 툴바와 탭 아래에 하락폭·반등폭 두 분포도를 나란히 두고 각각 분석 범위 절단·극단값 제외·HDR 커버를 상단에 명시하며 다섯 차수의 비중과 매수가를 함께 냄,부분,True,True
224361924061,2026-07-29,28,5,계산기화면,같은 화면을 다른 종목에 적용한 사례 — 두 분포도의 표본 수·분석 범위·극단값·HDR 커버가 앞 종목과 완전히 같고 원화 환산값만 종목별로 달라짐,부분,True,True
224361924061,2026-07-29,28,8,계산기화면,계산기의 차트 패널만 담긴 캡처 — 다섯 차수의 비중과 매수가만 있고 앞 화면들과 달리 수량 표기가 없음,부분,True,True
224361924061,2026-07-29,28,11,계산기화면,"차트 툴팁이 거래대금과 그 전일대비 변화, 시가총액, 거래대금 대 시가총액 비율 세 지표를 한 화면에 정의해 보임",부분,True,True
224361924061,2026-07-29,28,12,계산기화면,다른 종목의 차트 패널 — 다섯 차수의 비중과 매수가 사다리를 표시,부분,True,True
224361924061,2026-07-29,28,15,계산기화면,같은 툴팁 세 지표를 다른 종목에서 보인 화면(차수 라벨은 대부분 잘려 읽히지 않음),있음,False,True
224361924061,2026-07-29,28,16,계산기화면,분할손절 예약 설정 화면 — 보유 수량과 평단을 받아 일괄 매도 분수 선택지와 분할 매도 일수 선택지마다 예상 주수와 금액을 환산해 보여줌,있음,False,True
224361924061,2026-07-29,28,17,계산기화면,"등록된 분할손절 예약의 목록과 상세 — 진행 회차·지정가·상태값 체계와 첫 회 일괄 발주 결과, 본전 도달 이력, 다음 매도 시작 시각 안내를 필드로 둠",있음,False,True
